#   N           Simpson's               Milne                 GSL
#-----------------------------------
1145001  2.461050825989e-14 5.3908732378807e-15 8.2035027532967e-15 
1149001 4.6877158590267e-15 1.0078589096907e-14 8.2035027532967e-15 
1153001 1.1836482544042e-14 1.6407005506593e-14 8.2035027532967e-15 
1157001 3.6329797907457e-15 6.7971879955887e-15 8.2035027532967e-15 
1161001 6.8089072852362e-14 7.2659595814913e-15 8.2035027532967e-15 
1165001 1.2891218612323e-15 1.6992969988972e-14 8.2035027532967e-15 
1169001  3.867365583697e-15 1.4766304955934e-14 8.2035027532967e-15 
1173001 2.0625949779717e-14 6.0237148788493e-14 8.2035027532967e-15 
1177001   3.51578689427e-15 2.6954366189403e-15 8.2035027532967e-15 
1181001 1.7696127367826e-14  5.543224003299e-14 8.2035027532967e-15 
1185001 1.4180340473556e-14 1.3477183094702e-14 8.2035027532967e-15 
1189001 7.6175382709183e-15 2.3438579295133e-15 8.2035027532967e-15 
1193001 8.2035027532967e-15 2.3672965088085e-14 8.2035027532967e-15 
1197001 2.2969807709231e-14  5.976837720259e-15 8.2035027532967e-15 
1201001 1.0078589096907e-14 4.1720671145337e-14 8.2035027532967e-15 
1205001 3.0470153083673e-14 1.3711568887653e-14 8.2035027532967e-15 
1209001 2.0625949779717e-14 2.0977528469144e-14 8.2035027532967e-15 
1213001 7.4300296365573e-14 3.9962777698202e-14 8.2035027532967e-15 
1217001 4.1017513766483e-15 1.1836482544042e-14 8.2035027532967e-15 
1221001 2.3438579295133e-16  5.625259030832e-15 8.2035027532967e-15 
1225001 1.6055426817166e-14 5.0744524173964e-14 8.2035027532967e-15 
1229001 5.5901011618893e-14  9.492624614529e-15 8.2035027532967e-15 
1233001 1.7227355781923e-14 2.3204193502182e-14 8.2035027532967e-15 
1237001 5.6018204515369e-14 3.2814011013187e-15 8.2035027532967e-15 
1241001 2.8477873843587e-14 4.0431549284105e-14 8.2035027532967e-15 
1245001 2.3321386398658e-14  3.246243232376e-14 8.2035027532967e-15 
1249001   7.03157378854e-16   7.03157378854e-16 8.2035027532967e-15 
1253001 1.4180340473556e-14  5.625259030832e-15 8.2035027532967e-15 
1257001 1.4766304955934e-14 4.6056808314937e-14 8.2035027532967e-15 
1261001 4.3712950385424e-14 1.5703848127739e-14 8.2035027532967e-15 
1265001 3.0587345980149e-14 3.1993660737857e-14 8.2035027532967e-15 
1269001  3.867365583697e-14  7.734731167394e-15 8.2035027532967e-15 
1273001 1.4297533370031e-14 3.5626640528603e-14 8.2035027532967e-15 
1277001 1.5117883645361e-14   3.51578689427e-16 8.2035027532967e-15 
1281001 2.2852614812755e-14  1.757893447135e-15 8.2035027532967e-15 
1285001 4.2775407213618e-14 1.9922792400863e-15 8.2035027532967e-15 
1289001 1.4180340473556e-14  4.136909245591e-14 8.2035027532967e-15 
1293001 2.0039985297339e-14 2.5899630121122e-14 8.2035027532967e-15 
1297001 1.3008411508799e-14 5.3908732378807e-15 8.2035027532967e-15 
1301001  4.218944273124e-14 3.1759274944906e-14 8.2035027532967e-15 
1305001 2.0391563986766e-14 6.4456093061617e-15 8.2035027532967e-15 
1309001  1.757893447135e-15 1.9922792400863e-14 8.2035027532967e-15 
1313001 2.9298224118917e-14 1.1250518061664e-14 8.2035027532967e-15 
1317001 2.2618229019804e-14 1.4766304955934e-14 8.2035027532967e-15 
1321001 1.1484903854615e-14 6.6096793612276e-14 8.2035027532967e-15 
1325001 8.2035027532967e-16 2.7071559085879e-14 8.2035027532967e-15 
1329001 1.2188061233469e-14 4.5236458039607e-14 8.2035027532967e-15 
1333001 2.6719980396452e-14 1.1250518061664e-14 8.2035027532967e-15 
1337001 2.6837173292928e-14 3.4689097356797e-14 8.2035027532967e-15 
1341001 4.8049087555023e-15 1.8516477643155e-14 8.2035027532967e-15 
1345001 2.6134015914074e-14 2.8009102257684e-14 8.2035027532967e-15 
1349001 6.7971879955887e-15 4.6877158590267e-14 8.2035027532967e-15 
1353001 6.2112235132103e-15  7.383152477967e-15 8.2035027532967e-15 
1357001 1.1953675440518e-14 1.0430167786334e-14 8.2035027532967e-15 
1361001 2.1211914262096e-14 1.9102442125534e-14 8.2035027532967e-15 
1365001 2.4258929570463e-14 4.2072249834764e-14 8.2035027532967e-15 
1369001 1.2305254129945e-14 1.6407005506593e-15 8.2035027532967e-15 
1373001 6.0705920374395e-14 1.6407005506593e-14 8.2035027532967e-15 
1377001 2.3438579295133e-15 5.5080661343563e-14 8.2035027532967e-15 
1381001 1.4414726266507e-14 1.8750863436107e-15 8.2035027532967e-15 
1385001 2.3907350881036e-14  2.812629515416e-15 8.2035027532967e-15 
1389001 3.1993660737857e-14 2.5313665638744e-14 8.2035027532967e-15 
1393001 2.9884188601295e-14  1.406314757708e-15 8.2035027532967e-15 
1397001 5.3205574999953e-14 2.7540330671782e-14 8.2035027532967e-15 
1401001 7.1956438436059e-14 4.8049087555023e-15 8.2035027532967e-15 
1405001 1.0898939372237e-14 2.1563492951523e-14 8.2035027532967e-15 
1409001 1.2188061233469e-14  2.812629515416e-15 8.2035027532967e-15 
1413001 2.2735421916279e-14 2.2618229019804e-14 8.2035027532967e-15 
1417001  9.492624614529e-15 2.7071559085879e-14 8.2035027532967e-15 
1421001 4.9689788105683e-14 5.0392945484537e-15 8.2035027532967e-15 
1425001 2.8829452533014e-14 2.2501036123328e-14 8.2035027532967e-15 
