#  N   trapezoid     Simpsons     3/8      Gauss  
#-----------------------------------------
3.001301e+00  -6.236397e+00  -6.692373e+00  -6.963499e+00  -6.963499e+00
3.003891e+00  -6.078749e+00  -6.340092e+00  -6.526726e+00  -5.825587e+00
3.006466e+00  -7.097897e+00  -6.313417e+00  -6.759172e+00  -6.171001e+00
3.009026e+00  -6.963499e+00  -6.236397e+00  -5.978108e+00  -6.340092e+00
3.011570e+00  -6.526726e+00  -6.236397e+00  -6.692373e+00  -6.114175e+00
3.014100e+00  -6.759172e+00  -7.097897e+00  -7.097897e+00  -6.236397e+00
3.016616e+00  -6.759172e+00  -6.190052e+00  -6.258624e+00  -6.440455e+00
3.019116e+00  -6.258624e+00  -6.114175e+00  -7.097897e+00  -5.978108e+00
3.021603e+00  -6.759172e+00  -6.759172e+00  -7.097897e+00  -6.130844e+00
3.024075e+00  -6.258624e+00  -5.916735e+00  -6.440455e+00  -7.097897e+00
3.026533e+00  -6.130844e+00  -6.407105e+00  -6.340092e+00  -6.571210e+00
3.028978e+00  -6.313417e+00  -5.951930e+00  -6.130844e+00  -6.340092e+00
3.031408e+00  -6.440455e+00  -6.526726e+00  -6.018904e+00  -7.097897e+00
3.033826e+00  -6.759172e+00  -7.097897e+00  -6.258624e+00  -7.097897e+00
3.036230e+00  -6.440455e+00  -6.407105e+00  -7.097897e+00  -6.171001e+00
3.038620e+00  -6.963499e+00  -6.078749e+00  -5.978108e+00  -6.440455e+00
3.040998e+00  -6.440455e+00  -6.571210e+00  -5.978108e+00  -5.727836e+00
3.043362e+00  -7.839390e+00  -6.526726e+00  -6.440455e+00  -5.750289e+00
3.045714e+00  -6.692373e+00  -7.097897e+00  -6.313417e+00  -7.839390e+00
3.048053e+00  -6.407105e+00  -6.032238e+00  -7.839390e+00  -5.906478e+00
3.050380e+00  -6.407105e+00  -6.571210e+00  -6.440455e+00  -6.407105e+00
3.052694e+00  -6.526726e+00  -7.839390e+00  -6.440455e+00  -6.078749e+00
3.054996e+00  -6.171001e+00  -7.839390e+00  -6.258624e+00  -6.190052e+00
3.057286e+00  -6.190052e+00  -6.692373e+00  -5.990230e+00  -7.097897e+00
3.059563e+00  -5.978108e+00  -6.963499e+00  -7.097897e+00  -6.963499e+00
3.061829e+00  -5.940818e+00  -6.526726e+00  -6.313417e+00  -7.097897e+00
3.064083e+00  -6.190052e+00  -6.078749e+00  -6.078749e+00  -6.130844e+00
3.066326e+00  -6.018904e+00  -6.114175e+00  -6.313417e+00  -5.884180e+00
3.068557e+00  -6.407105e+00  -6.571210e+00  -5.916735e+00  -6.440455e+00
3.070776e+00  -5.916735e+00  -6.440455e+00  -5.845007e+00  -6.171001e+00
3.072985e+00  -6.692373e+00  -6.258624e+00  -6.692373e+00  -5.951930e+00
3.075182e+00  -6.313417e+00  -6.571210e+00  -6.313417e+00  -5.951930e+00
3.077368e+00  -7.839390e+00  -6.571210e+00  -6.440455e+00  -6.340092e+00
3.079543e+00  -6.078749e+00  -6.759172e+00  -6.340092e+00  -6.692373e+00
3.081707e+00  -6.258624e+00  -6.571210e+00  -5.845007e+00  -5.686138e+00
3.083861e+00  -6.692373e+00  -6.340092e+00  -6.963499e+00  -5.978108e+00
3.086004e+00  -6.571210e+00  -6.114175e+00  -7.097897e+00  -7.097897e+00
3.088136e+00  -5.853896e+00  -6.407105e+00  -7.839390e+00  -6.440455e+00
3.090258e+00  -6.571210e+00  -6.018904e+00  -6.190052e+00  -6.692373e+00
3.092370e+00  -6.963499e+00  -6.440455e+00  -6.313417e+00  -5.773967e+00
3.094471e+00  -6.692373e+00  -6.063932e+00  -6.692373e+00  -7.839390e+00
3.096562e+00  -5.978108e+00  -5.845007e+00  -6.018904e+00  -6.236397e+00
3.098644e+00  -6.171001e+00  -6.114175e+00  -6.114175e+00  -6.340092e+00
3.100715e+00  -6.078749e+00  -6.258624e+00  -5.990230e+00  -6.963499e+00
3.102777e+00  -6.759172e+00  -6.114175e+00  -6.236397e+00  -6.114175e+00
3.104828e+00  -7.839390e+00  -6.963499e+00  -6.078749e+00  -6.340092e+00
3.106871e+00  -6.130844e+00  -6.130844e+00  -6.759172e+00  -6.032238e+00
3.108903e+00  -7.839390e+00  -6.407105e+00  -6.078749e+00  -6.130844e+00
3.110926e+00  -6.063932e+00  -5.845007e+00  -6.692373e+00  -6.078749e+00
3.112940e+00  -6.407105e+00  -6.407105e+00  -6.526726e+00  -6.526726e+00
3.114944e+00  -6.759172e+00  -6.313417e+00  -6.130844e+00  -6.190052e+00
3.116940e+00  -6.407105e+00  -6.171001e+00  -5.825587e+00  -6.963499e+00
3.118926e+00  -6.018904e+00  -6.692373e+00  -6.236397e+00  -6.692373e+00
3.120903e+00  -5.874656e+00  -5.940818e+00  -6.571210e+00  -6.407105e+00
3.122871e+00  -6.114175e+00  -6.963499e+00  -6.440455e+00  -6.236397e+00
3.124830e+00  -6.692373e+00  -6.171001e+00  -6.130844e+00  -6.340092e+00
