# m=1, k=39.4784, p=2
# x0=2, v0=5
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.9900  2.011652418178362e+00  4.726421961457755e+00  1.116953227887508e+01  7.987955343766616e+01
2.0000  2.055091109227042e+00  3.960316130665789e+00  7.842051927405826e+00  8.336656393854553e+01
2.0100  2.090842825322413e+00  3.189431074781926e+00  5.086235290392295e+00  8.629239341762870e+01
2.0200  2.118871668123654e+00  2.416122674595325e+00  2.918824389346835e+00  8.862149028628394e+01
2.0300  2.139164613389671e+00  1.642610190359883e+00  1.349084118737066e+00  9.032711775914261e+01
2.0400  2.151730158729154e+00  8.709794789466957e-01  3.793026263731288e-01  9.139140522337786e+01
2.0500  2.156597015976269e+00  1.031886677675768e-01  5.323950577823676e-03  9.180529721672796e+01
2.0600  2.153812871677451e+00  -6.589239369267970e-01  2.170903773275548e-01  9.156841085826136e+01
2.0700  2.143443236778912e+00  -1.413629963474792e+00  9.991748368168706e-01  9.068881243060164e+01
2.0800  2.125570403892489e+00  -2.159299395517484e+00  2.331286939741085e+00  8.918272328622457e+01
2.0900  2.100292527533840e+00  -2.894387610343902e+00  4.188739819456142e+00  8.707416440743638e+01
2.1000  2.067722839520455e+00  -3.617421364968620e+00  6.542868665865715e+00  8.439454786013762e+01
2.1100  2.027989008339213e+00  -4.326984074482640e+00  9.361395590413194e+00  8.118222211976070e+01
2.1200  1.981232647798546e+00  -5.021700736138991e+00  1.260873914166944e+01  7.748197688963103e+01
2.1300  1.927608976724523e+00  -5.700222855911817e+00  1.624627030352974e+01  7.334451165247425e+01
2.1400  1.867286627900092e+00  -6.361213731862168e+00  2.023252007121590e+01  6.882587086709734e+01
2.1500  1.800447600938941e+00  -7.003334440598921e+00  2.452334664343950e+01  6.398684751196009e+01
2.1600  1.727287350385821e+00  -7.625230859566806e+00  2.907207283084497e+01  5.889235564666627e+01
2.1700  1.648014997097854e+00  -8.225522039033535e+00  3.382960640731321e+01  5.361077186478032e+01
2.1800  1.562853647937941e+00  -8.802790213771861e+00  3.874455777383882e+01  4.821324499119467e+01
2.1900  1.472040806050404e+00  -9.355572715900660e+00  4.376337042125243e+01  4.277297316870404e+01
2.2000  1.375828851534812e+00  -9.882356017592107e+00  4.883048022921947e+01  3.736444760451133e+01
2.2100  1.274485570226395e+00  -1.038157209586176e+01  5.388851959078778e+01  3.206266271916249e+01
2.2200  1.168294706565305e+00  -1.085159727198328e+01  5.887858167665745e+01  2.694229325639608e+01
2.2300  1.057556515220937e+00  -1.129075363580465e+01  6.374055883221799e+01  2.207684005813191e+01
2.2400  9.425882852545244e-01  -1.169731312102268e+01  6.841356712562462e+01  1.753774765670641e+01
2.2500  8.237248101694253e-01  -1.206950425196038e+01  7.283646644404486e+01  1.339349854584862e+01
2.2600  7.013187772234269e-01  -1.240552153627260e+01  7.694848229346169e+01  9.708690909541261e+00
2.2700  5.757410498637021e-01  -1.270353743197079e+01  8.068993164274156e+01  6.543108648794892e+00
2.2800  4.473808180883272e-01  -1.296171677190369e+01  8.400305083752468e+01  3.950794674880743e+00
2.2900  3.166455929273771e-01  -1.317823348503869e+01  8.683291889309751e+01  1.979140549211547e+00
